game_name,publisher,developer,platform_id,rating,year,genre,game_id
Wii Sports,Nintendo,Nintendo,1,E,2006.0,Sports,1
Super Mario Bros.,Nintendo,,2,,1985.0,Platform,2
Mario Kart Wii,Nintendo,Nintendo,1,E,2008.0,Racing,3
Wii Sports Resort,Nintendo,Nintendo,1,E,2009.0,Sports,4
Pokemon Red/Pokemon Blue,Nintendo,,3,,1996.0,Role-Playing,5
Tetris,Nintendo,,3,,1989.0,Puzzle,6
New Super Mario Bros.,Nintendo,Nintendo,4,E,2006.0,Platform,7
Wii Play,Nintendo,Nintendo,1,E,2006.0,Misc,8
New Super Mario Bros. Wii,Nintendo,Nintendo,1,E,2009.0,Platform,9
Duck Hunt,Nintendo,,2,,1984.0,Shooter,10
Nintendogs,Nintendo,,4,,2005.0,Simulation,11
Mario Kart DS,Nintendo,Nintendo,4,E,2005.0,Racing,12
Pokemon Gold/Pokemon Silver,Nintendo,,3,,1999.0,Role-Playing,13
Wii Fit,Nintendo,Nintendo,1,E,2007.0,Sports,14
Kinect Adventures!,Microsoft Game Studios,Good Science Studio,5,E,2010.0,Misc,15
Wii Fit Plus,Nintendo,Nintendo,1,E,2009.0,Sports,16
Grand Theft Auto V,Take-Two Interactive,Rockstar North,6,M,2013.0,Action,17
Grand Theft Auto: San Andreas,Take-Two Interactive,Rockstar North,7,M,2004.0,Action,18
Super Mario World,Nintendo,,8,,1990.0,Platform,19
Brain Age: Train Your Brain in Minutes a Day,Nintendo,Nintendo,4,E,2005.0,Misc,20
Pokemon Diamond/Pokemon Pearl,Nintendo,,4,,2006.0,Role-Playing,21
Super Mario Land,Nintendo,,3,,1989.0,Platform,22
Super Mario Bros. 3,Nintendo,,2,,1988.0,Platform,23
Grand Theft Auto V,Take-Two Interactive,Rockstar North,5,M,2013.0,Action,24
Grand Theft Auto: Vice City,Take-Two Interactive,Rockstar North,7,M,2002.0,Action,25
Pokemon Ruby/Pokemon Sapphire,Nintendo,,9,,2002.0,Role-Playing,26
Brain Age 2: More Training in Minutes a Day,Nintendo,Nintendo,4,E,2005.0,Puzzle,27
Pokemon Black/Pokemon White,Nintendo,,4,,2010.0,Role-Playing,28
Gran Turismo 3: A-Spec,Sony Computer Entertainment,Polyphony Digital,7,E,2001.0,Racing,29
Call of Duty: Modern Warfare 3,Activision,"Infinity Ward, Sledgehammer Games",5,M,2011.0,Shooter,30
Pokémon Yellow: Special Pikachu Edition,Nintendo,,3,,1998.0,Role-Playing,31
Call of Duty: Black Ops 3,Activision,,10,,2015.0,Shooter,32
Call of Duty: Black Ops,Activision,Treyarch,5,M,2010.0,Shooter,33
Pokemon X/Pokemon Y,Nintendo,,11,,2013.0,Role-Playing,34
Call of Duty: Black Ops II,Activision,Treyarch,6,M,2012.0,Shooter,35
Call of Duty: Black Ops II,Activision,Treyarch,5,M,2012.0,Shooter,36
Call of Duty: Modern Warfare 2,Activision,Infinity Ward,5,M,2009.0,Shooter,37
Call of Duty: Modern Warfare 3,Activision,"Infinity Ward, Sledgehammer Games",6,M,2011.0,Shooter,38
Grand Theft Auto III,Take-Two Interactive,DMA Design,7,M,2001.0,Action,39
