critic_score,critic_count,user_score,user_count,game_id
76,51,8,322,1
,,,,2
82,73,8.3,709,3
80,73,8,192,4
89,65,8.5,431,5
58,41,6.6,129,6
87,80,8.4,594,7
91,64,8.6,464,8
80,63,7.7,146,9
61,45,6.3,106,10
80,33,7.4,52,11
97,50,8.2,3994,12
95,80,9,1588,13
77,58,7.9,50,14
97,58,8.1,3711,15
95,62,8.7,730,16
77,37,7.1,19,17
95,54,8.4,314,18
88,81,3.4,8713,19
87,89,6.3,1454,20
83,21,5.3,922,21
83,73,4.8,2256,22
94,100,6.3,2698,23
88,39,3.2,5234,24
97,56,8.5,664,25
93,81,8.9,1662,26
85,73,8.2,632,27
88,58,6.4,1094,28
97,66,8.3,2899,29
86,57,8.7,242,30
94,86,7.8,4100,31
89,74,8.5,272,32
97,73,8.9,2147,33
98,86,7.9,2951,34
96,16,8.7,138,35
90,82,8.4,921,36
84,82,7.5,1112,37
94,67,6.3,2073,38
98,64,7.5,2833,39
73,29,2.6,2117,40
74,15,7.8,16,41
78,70,7.2,424,42
91,99,7.9,2045,43
92,20,9.2,1282,44
87,87,7,3260,45
93,23,9,135,46
74,24,7.3,24,47
71,10,2.6,1047,48
94,70,8.4,1320,49
88,70,8.7,626,50
72,27,7.8,85,51
96,89,8.4,3589,52
82,42,4.3,896,53
95,91,8.2,1218,54
68,42,7.4,54,55
62,41,6.3,190,56
88,37,6.6,348,57
92,53,8.7,1056,58
86,75,7.6,886,59
90,24,8.6,644,60
83,46,8.5,203,61
88,65,7.6,451,62
83,39,5.7,1443,63
85,41,5,398,64
97,87,9.1,1854,65
84,84,7.6,580,66
84,57,7.4,2142,67
85,33,8.6,171,68
49,21,8,110,69
85,38,7.5,1761,70
87,58,6.5,4228,71
96,15,9.1,367,72
95,73,9,1658,73
91,12,8.9,432,74
88,82,9.1,1599,75
92,38,9.1,568,76
82,39,8.6,132,77
88,29,8.5,135,78
74,10,7.3,28,79
93,90,7.7,2739,80
92,97,8.3,3712,81
,,tbd,,82
94,44,8.4,993,83
96,105,8.8,5187,84
74,45,7.4,27,85
95,73,8.8,2456,86
86,37,4.3,576,87
85,41,6.9,1307,88
87,77,8.6,368,89
97,68,8.6,1283,90
92,16,6.4,2527,91
76,28,9,222,92
85,46,8.8,597,93
83,94,7.1,1163,94
95,96,9,2316,95
92,61,8.6,439,96
93,57,7.3,2182,97
87,22,8.1,78,98
91,96,7.8,1504,99
73,51,7.4,95,100
94,88,8.3,2295,101
82,47,5.7,988,102
96,42,8.7,1026,103
94,20,9.4,918,104
94,82,8.7,3558,105
92,64,7.6,972,106
95,98,9.1,8003,107
95,85,6.8,5311,108
89,13,9.2,364,109
87,65,8.8,197,110
89,8,8.9,102,111
76,95,6.1,5380,112
80,17,8.9,62,113
67,35,7.2,21,114
91,70,8.6,1202,115
81,77,7.7,1074,116
92,90,8,516,117
84,19,7.8,41,118
81,48,8.7,124,119
96,42,8.6,2162,120
97,14,7.9,764,121
93,24,8.3,108,122
66,22,7.1,156,123
85,45,7.6,409,124
93,113,7.9,7064,125
83,83,7.3,2483,126
94,22,8.9,779,127
84,61,6.7,1196,128
85,45,6.6,400,129
81,53,5.4,898,130
90,82,8.8,1305,131
85,13,,,132
94,29,8.5,140,133
84,70,8.1,733,134
89,63,8.8,245,135
85,72,8.6,147,136
90,48,6.1,403,137
88,86,4,9629,138
68,30,7.6,100,139
92,69,8.5,112,140
80,88,6.5,604,141
84,76,7.5,667,142
90,57,8,416,143
89,51,8,233,144
91,8,9,266,145
86,50,8,150,146
92,18,9.2,69,147
82,24,8.2,46,148
68,34,7.1,47,149
93,84,8.5,1655,150
88,66,8.1,2306,151
88,29,8,121,152
93,82,8.2,3052,153
81,40,7.3,769,154
92,101,8.7,2633,155
88,20,9,233,156
80,9,5.4,46,157
62,14,7.7,92,158
94,87,8.7,1472,159
98,19,7.7,299,160
82,32,8.2,78,161
91,13,8.6,147,162
73,50,7.6,119,163
86,78,8.1,1264,164
96,80,8.9,968,165
86,36,8.4,87,166
86,74,8.4,458,167
91,83,8.2,617,168
91,30,7.9,78,169
85,69,7.9,165,170
84,29,8.2,39,171
84,101,6.4,2438,172
76,25,7.9,41,173
77,82,3.4,1129,174
94,75,8.9,997,175
81,88,8.5,1184,176
77,61,7.9,471,177
97,34,7.5,298,178
86,19,8.9,33,179
94,90,8.7,1109,180
